,date,item,category,avg_daily_amount_usd,avg_usdkrw,avg_daily_amount_krw
197,2016-08-10,선박,수출,47033125.0,1108.00375,52112878874.21876
198,2016-09-10,선박,수출,135421571.42857143,1103.5400000000002,149443120934.28574
199,2016-10-10,선박,수출,65258333.333333336,1111.5733333333333,72539423111.11111
200,2016-11-10,선박,수출,75605500.0,1145.4125,86599484768.75
201,2016-12-10,선박,수출,62505142.85714286,1165.75,72865370285.7143
202,2017-01-10,선박,수출,121884857.14285715,1198.402857142857,146067161042.44897
203,2017-02-10,선박,수출,86095000.0,1143.6375,98461470562.5
204,2017-03-10,선박,수출,140485285.7142857,1150.595,161641667316.42856
205,2017-04-10,선박,수출,66868500.0,1129.5466666666669,75531091280.00002
206,2017-05-10,선박,수출,38996125.0,1133.6174999999998,44206689732.18749
207,2017-06-10,선박,수출,71951333.33333333,1120.202857142857,80600089175.23808
208,2017-07-10,선박,수출,694866500.0,1151.4816666666666,800126035530.8333
209,2017-08-10,선박,수출,54985000.0,1129.2649999999999,62092636024.99999
210,2017-09-10,선박,수출,42126833.333333336,1129.0516666666667,47563371386.38889
211,2017-10-10,선박,수출,238546142.85714287,1141.812857142857,272375052936.1224
212,2017-11-10,선박,수출,18405750.0,1114.0662499999999,20505224880.937496
213,2017-12-10,선박,수출,81623833.33333333,1088.6366666666665,88858697840.55554
214,2018-01-10,선박,수출,117911571.42857143,1065.3375,125615618726.78574
215,2018-02-10,선박,수출,118253000.0,1086.1414285714286,128439482352.85715
216,2018-03-10,선박,수출,100739000.0,1072.01,107993215390.0
217,2018-04-10,선박,수출,92756142.85714285,1061.6114285714286,98470981327.34694
218,2018-05-10,선박,수출,11126625.0,1074.81625,11959077357.65625
219,2018-06-10,선박,수출,11068500.0,1070.4333333333334,11848091350.0
220,2018-07-10,선박,수출,31617571.42857143,1115.1271428571429,35257612091.22449
221,2018-08-10,선박,수출,1238750.0,1122.41625,1390393129.6875
222,2018-09-10,선박,수출,29116333.333333332,1120.8916666666667,32636255397.22222
223,2018-10-10,선박,수출,37841125.0,1128.2875,42695668323.4375
224,2018-11-10,선박,수출,83595428.57142857,1121.0785714285716,93717043640.81635
225,2018-12-10,선박,수출,4161833.333333333,1116.855,4648164367.5
226,2019-01-10,선박,수출,82542714.28571428,1118.0187500000002,92284302247.32144
227,2019-02-10,선박,수출,14504333.333333334,1120.2233333333334,16248092634.444445
228,2019-03-10,선박,수출,109343000.0,1128.515,123395215645.00002
229,2019-04-10,선박,수출,141475875.0,1136.8574999999998,160837909562.81247
230,2019-05-10,선박,수출,27177125.0,1170.0412500000002,31798357306.406258
231,2019-06-10,선박,수출,35828200.0,1179.68,42265810976.0
232,2019-07-10,선박,수출,22908250.0,1172.0774999999999,26850244389.374996
233,2019-08-10,선박,수출,44731857.14285714,1209.007142857143,54081134798.9796
234,2019-09-10,선박,수출,130278285.71428572,1200.05,156340456771.42856
235,2019-10-10,선박,수출,28821750.0,1197.6487499999998,34518332860.31249
236,2019-11-10,선박,수출,34767833.333333336,1159.4333333333334,40310984894.44445
237,2019-12-10,선박,수출,42594714.28571428,1188.2514285714285,50613230099.591835
238,2020-01-10,선박,수출,72401250.0,1161.1875,84071426484.375
239,2020-02-10,선박,수출,34610000.0,1186.655,41070129550.0
240,2020-03-10,선박,수출,28786857.14285714,1188.3914285714286,34210054284.08163
241,2020-04-10,선박,수출,16200500.0,1222.01,19797173005.0
242,2020-05-10,선박,수출,67451600.0,1223.2183333333332,82508033732.66666
243,2020-06-10,선박,수출,97059625.0,1207.645,117213570833.125
244,2020-07-10,선박,수출,92950875.0,1197.1637500000002,111277418080.78127
245,2020-08-10,선박,수출,2133666.6666666665,1188.2666666666667,2535364977.7777777
246,2020-09-10,선박,수출,40941500.0,1187.9537500000001,48636608455.62501
247,2020-10-10,선박,수출,6136285.714285715,1157.4957142857143,7102724415.918367
248,2020-11-10,선박,수출,84417142.85714285,1124.6185714285714,94937086604.08162
249,2020-12-10,선박,수출,73616625.0,1090.2524999999998,80260709447.81248
250,2021-01-10,선박,수출,166086400.0,1088.795,180834041888.0
251,2021-02-10,선박,수출,87858250.0,1114.26,97896933645.0
